appid,name,genres,steamspy_tags,steamspy_tags_weighted
400,Portal,Action,Puzzle;Puzzle-Platformer;First-Person;3D Platformer;Singleplayer;Sci-fi;Comedy;Female Protagonist;Physics;Funny;Action;Classic;Story Rich;Platformer;Science;Atmospheric;Dark Humor;Short;FPS;Adventure,"{""Puzzle"": 4271, ""Puzzle-Platformer"": 3219, ""First-Person"": 2589, ""3D Platformer"": 2507, ""Singleplayer"": 2237, ""Sci-fi"": 2056, ""Comedy"": 1661, ""Female Protagonist"": 1614, ""Physics"": 1169, ""Funny"": 1118, ""Action"": 1082, ""Classic"": 932, ""Story Rich"": 931, ""Platformer"": 875, ""Science"": 855, ""Atmospheric"": 748, ""Dark Humor"": 732, ""Short"": 702, ""FPS"": 694, ""Adventure"": 677}"
500,Left 4 Dead,Action,Zombies;Co-op;Multiplayer;FPS;Action;Horror;Shooter;Online Co-Op;Survival;Team-Based;First-Person;Post-apocalyptic;Singleplayer;Atmospheric;Moddable;Adventure;Tactical;Replay Value;Competitive;Female Protagonist,"{""Zombies"": 2205, ""Co-op"": 1429, ""Multiplayer"": 1275, ""FPS"": 1213, ""Action"": 1045, ""Horror"": 915, ""Shooter"": 840, ""Online Co-Op"": 822, ""Survival"": 685, ""Team-Based"": 660, ""First-Person"": 627, ""Post-apocalyptic"": 560, ""Singleplayer"": 455, ""Atmospheric"": 340, ""Moddable"": 326, ""Adventure"": 324, ""Tactical"": 293, ""Replay Value"": 274, ""Competitive"": 265, ""Female Protagonist"": 238}"
620,Portal 2,"Action, Adventure",Platformer;Puzzle;First-Person;Dark Humor;Story Rich;Puzzle-Platformer;Funny;Female Protagonist;3D Platformer;Action-Adventure;Action;FPS;Co-op;Physics;Sci-fi;Level Editor;Science;Comedy;Atmospheric;Adventure,"{""Platformer"": 7477, ""Puzzle"": 7394, ""First-Person"": 7096, ""Dark Humor"": 7075, ""Story Rich"": 7053, ""Puzzle-Platformer"": 6970, ""Funny"": 6885, ""Female Protagonist"": 6850, ""3D Platformer"": 6782, ""Action-Adventure"": 6611, ""Action"": 6574, ""FPS"": 6559, ""Co-op"": 6260, ""Physics"": 5106, ""Sci-fi"": 4953, ""Level Editor"": 4911, ""Science"": 4842, ""Comedy"": 4824, ""Atmospheric"": 4798, ""Adventure"": 4741}"
2990,FlatOut 2,Racing,Racing;Combat Racing;Multiplayer;Destruction;Automobile Sim;Vehicular Combat;Action;Driving;Arcade;Singleplayer;Physics;Local Multiplayer;Funny;Casual;3D;Third Person;Baseball;Basketball;Bowling;Football (American),"{""Racing"": 463, ""Combat Racing"": 445, ""Multiplayer"": 314, ""Destruction"": 310, ""Automobile Sim"": 302, ""Vehicular Combat"": 299, ""Action"": 293, ""Driving"": 291, ""Arcade"": 289, ""Singleplayer"": 289, ""Physics"": 278, ""Local Multiplayer"": 278, ""Funny"": 269, ""Casual"": 258, ""3D"": 252, ""Third Person"": 249, ""Baseball"": 244, ""Basketball"": 240, ""Bowling"": 234, ""Football (American)"": 228}"
13570,Tom Clancy's Splinter Cell Chaos Theory,Action,Stealth;Action;Third Person;Classic;Co-op;Great Soundtrack;Atmospheric;Singleplayer;Tactical;Immersive;Multiplayer;Shooter;Story Rich;Controller;Third-Person Shooter;Adventure;Strategy;Local Co-Op,"{""Stealth"": 341, ""Action"": 173, ""Third Person"": 165, ""Classic"": 129, ""Co-op"": 119, ""Great Soundtrack"": 102, ""Atmospheric"": 95, ""Singleplayer"": 72, ""Tactical"": 59, ""Immersive"": 49, ""Multiplayer"": 42, ""Shooter"": 32, ""Story Rich"": 30, ""Controller"": 29, ""Third-Person Shooter"": 24, ""Adventure"": 20, ""Strategy"": 14, ""Local Co-Op"": 8}"
19900,Far Cry 2,Action,Open World;FPS;Action;Shooter;Singleplayer;First-Person;Multiplayer;Adventure;Realistic;Sandbox;Atmospheric;Stealth;Survival;Exploration;Story Rich;Level Editor;Immersive Sim;Controller;Great Soundtrack;Co-op,"{""Open World"": 481, ""FPS"": 440, ""Action"": 335, ""Shooter"": 243, ""Singleplayer"": 221, ""First-Person"": 213, ""Multiplayer"": 203, ""Adventure"": 151, ""Realistic"": 139, ""Sandbox"": 133, ""Atmospheric"": 132, ""Stealth"": 124, ""Survival"": 111, ""Exploration"": 104, ""Story Rich"": 72, ""Level Editor"": 71, ""Immersive Sim"": 69, ""Controller"": 57, ""Great Soundtrack"": 54, ""Co-op"": 53}"
35140,Batman: Arkham Asylum Game of the Year Edition,"Action, Adventure",Action;Stealth;Third Person;Superhero;Adventure;Singleplayer;Open World;Beat 'em up;Detective;Comic Book;Atmospheric;Story Rich;Action-Adventure;Fighting;Controller;Metroidvania;Puzzle;Horror;3D Vision;Dark,"{""Action"": 1259, ""Stealth"": 896, ""Third Person"": 811, ""Superhero"": 809, ""Adventure"": 749, ""Singleplayer"": 648, ""Open World"": 520, ""Beat 'em up"": 493, ""Detective"": 342, ""Comic Book"": 342, ""Atmospheric"": 320, ""Story Rich"": 295, ""Action-Adventure"": 254, ""Fighting"": 212, ""Controller"": 184, ""Metroidvania"": 158, ""Puzzle"": 148, ""Horror"": 106, ""3D Vision"": 105, ""Dark"": 97}"
105600,Terraria,"Action, Adventure, Indie, RPG",Open World Survival Craft;Sandbox;Survival;2D;Multiplayer;Adventure;Pixel Graphics;Crafting;Building;Exploration;Co-op;Open World;Online Co-Op;Indie;Action;RPG;Singleplayer;Replay Value;Platformer;Atmospheric,"{""Open World Survival Craft"": 16503, ""Sandbox"": 16196, ""Survival"": 12888, ""2D"": 12753, ""Multiplayer"": 12688, ""Adventure"": 11676, ""Pixel Graphics"": 11520, ""Crafting"": 10691, ""Building"": 10202, ""Exploration"": 9018, ""Co-op"": 7947, ""Open World"": 7689, ""Online Co-Op"": 6222, ""Indie"": 6178, ""Action"": 5731, ""RPG"": 5401, ""Singleplayer"": 5245, ""Replay Value"": 4412, ""Platformer"": 4068, ""Atmospheric"": 3602}"
200260,Batman: Arkham City - Game of the Year Edition,"Action, Adventure",Action;Open World;Stealth;Superhero;Adventure;Third Person;Singleplayer;Beat 'em up;Comic Book;Detective;Story Rich;Atmospheric;Fighting;Action-Adventure;Cinematic;Controller;3D Vision;Sandbox;Metroidvania;Great Soundtrack,"{""Action"": 1367, ""Open World"": 1142, ""Stealth"": 913, ""Superhero"": 902, ""Adventure"": 880, ""Third Person"": 857, ""Singleplayer"": 643, ""Beat 'em up"": 464, ""Comic Book"": 357, ""Detective"": 353, ""Story Rich"": 349, ""Atmospheric"": 320, ""Fighting"": 307, ""Action-Adventure"": 269, ""Cinematic"": 188, ""Controller"": 170, ""3D Vision"": 123, ""Sandbox"": 96, ""Metroidvania"": 89, ""Great Soundtrack"": 56}"
204360,Castle Crashers,"Action, Adventure, Casual, Indie, RPG",2D;Online Co-Op;Co-op;Beat 'em up;Hack and Slash;Funny;Adventure;4 Player Local;Local Co-Op;Multiplayer;Local Multiplayer;Action;Singleplayer;Medieval;Cartoony;Cute;Comedy;RPG;Arcade;Casual,"{""2D"": 2150, ""Online Co-Op"": 2145, ""Co-op"": 2118, ""Beat 'em up"": 2115, ""Hack and Slash"": 2105, ""Funny"": 2096, ""Adventure"": 2072, ""4 Player Local"": 1799, ""Local Co-Op"": 1641, ""Multiplayer"": 1603, ""Local Multiplayer"": 1572, ""Action"": 1529, ""Singleplayer"": 1096, ""Medieval"": 1063, ""Cartoony"": 1057, ""Cute"": 1027, ""Comedy"": 1008, ""RPG"": 999, ""Arcade"": 998, ""Casual"": 984}"
204450,Call of Juarez: Gunslinger,Action,Western;FPS;Action;Singleplayer;Shooter;Story Rich;Bullet Time;Comedy;First-Person;Narration;Adventure;Dynamic Narration;Funny;Violent;Atmospheric;Arcade;America;Gore;Historical;Alternate History,"{""Western"": 879, ""FPS"": 626, ""Action"": 516, ""Singleplayer"": 356, ""Shooter"": 354, ""Story Rich"": 341, ""Bullet Time"": 331, ""Comedy"": 280, ""First-Person"": 274, ""Narration"": 245, ""Adventure"": 201, ""Dynamic Narration"": 184, ""Funny"": 183, ""Violent"": 181, ""Atmospheric"": 176, ""Arcade"": 174, ""America"": 174, ""Gore"": 172, ""Historical"": 170, ""Alternate History"": 166}"
205100,Dishonored,"Action, Adventure",Stealth;First-Person;Assassin;Action;Steampunk;Singleplayer;Atmospheric;Story Rich;Multiple Endings;Adventure;Dark;Magic;Dystopian ;FPS;RPG;Replay Value;Immersive Sim;Fantasy;Open World;Shooter,"{""Stealth"": 2806, ""First-Person"": 1771, ""Assassin"": 1667, ""Action"": 1649, ""Steampunk"": 1646, ""Singleplayer"": 1452, ""Atmospheric"": 1320, ""Story Rich"": 1140, ""Multiple Endings"": 996, ""Adventure"": 956, ""Dark"": 914, ""Magic"": 866, ""Dystopian "": 772, ""FPS"": 628, ""RPG"": 593, ""Replay Value"": 541, ""Immersive Sim"": 517, ""Fantasy"": 415, ""Open World"": 342, ""Shooter"": 208}"
208650,Batman: Arkham Knight,"Action, Adventure",Action;Open World;Superhero;Stealth;Third Person;Singleplayer;Adventure;Detective;Story Rich;Fighting;Atmospheric;Dark;Comic Book;Beat 'em up;Mature;Puzzle;Horror;Sandbox;Strategy;Epic,"{""Action"": 1246, ""Open World"": 1173, ""Superhero"": 1022, ""Stealth"": 888, ""Third Person"": 801, ""Singleplayer"": 792, ""Adventure"": 786, ""Detective"": 643, ""Story Rich"": 602, ""Fighting"": 572, ""Atmospheric"": 509, ""Dark"": 465, ""Comic Book"": 421, ""Beat 'em up"": 369, ""Mature"": 297, ""Puzzle"": 292, ""Horror"": 191, ""Sandbox"": 177, ""Strategy"": 174, ""Epic"": 155}"
220240,Far Cry 3,"Action, Adventure",Open World;FPS;Action;Adventure;Multiplayer;Shooter;Stealth;Co-op;First-Person;Hunting;Singleplayer;Sandbox;Story Rich;Survival;Online Co-Op;Nudity;Atmospheric;Crafting;Colorful;RPG,"{""Open World"": 2501, ""FPS"": 2042, ""Action"": 1787, ""Adventure"": 1523, ""Multiplayer"": 1268, ""Shooter"": 1163, ""Stealth"": 1125, ""Co-op"": 1046, ""First-Person"": 1010, ""Hunting"": 967, ""Singleplayer"": 940, ""Sandbox"": 617, ""Story Rich"": 615, ""Survival"": 613, ""Online Co-Op"": 511, ""Nudity"": 463, ""Atmospheric"": 463, ""Crafting"": 422, ""Colorful"": 407, ""RPG"": 301}"
223710,Cry of Fear,"Action, Adventure, Indie",Horror;Free to Play;Multiplayer;Psychological Horror;Survival Horror;Co-op;Atmospheric;Action;First-Person;Psychological;Indie;Online Co-Op;Singleplayer;FPS;Adventure;Zombies;Shooter;Survival;Mod;Massively Multiplayer,"{""Horror"": 2551, ""Free to Play"": 1757, ""Multiplayer"": 1280, ""Psychological Horror"": 1251, ""Survival Horror"": 1220, ""Co-op"": 1155, ""Atmospheric"": 739, ""Action"": 698, ""First-Person"": 688, ""Psychological"": 664, ""Indie"": 636, ""Online Co-Op"": 625, ""Singleplayer"": 544, ""FPS"": 530, ""Adventure"": 523, ""Zombies"": 507, ""Shooter"": 485, ""Survival"": 482, ""Mod"": 304, ""Massively Multiplayer"": 99}"
224260,No More Room in Hell,"Action, Indie, Free To Play",Free to Play;Zombies;Multiplayer;Survival;Horror;Co-op;Online Co-Op;Action;FPS;First-Person;Survival Horror;Shooter;Post-apocalyptic;Open World;Realistic;Indie;Atmospheric;Mod;Adventure;Massively Multiplayer,"{""Free to Play"": 3683, ""Zombies"": 3078, ""Multiplayer"": 2211, ""Survival"": 2035, ""Horror"": 1799, ""Co-op"": 1541, ""Online Co-Op"": 1366, ""Action"": 1247, ""FPS"": 1197, ""First-Person"": 1045, ""Survival Horror"": 890, ""Shooter"": 870, ""Post-apocalyptic"": 843, ""Open World"": 659, ""Realistic"": 583, ""Indie"": 535, ""Atmospheric"": 511, ""Mod"": 465, ""Adventure"": 436, ""Massively Multiplayer"": 388}"
250900,The Binding of Isaac: Rebirth,Action,Action Roguelike;Rogue-like;Indie;Replay Value;Difficult;Pixel Graphics;Dungeon Crawler;Great Soundtrack;Singleplayer;Dark;2D;Local Co-Op;Remake;Gore;Procedural Generation;Rogue-lite;Atmospheric;Co-op;Action;Horror,"{""Action Roguelike"": 4064, ""Rogue-like"": 3626, ""Indie"": 3121, ""Replay Value"": 2991, ""Difficult"": 2660, ""Pixel Graphics"": 2198, ""Dungeon Crawler"": 1895, ""Great Soundtrack"": 1724, ""Singleplayer"": 1685, ""Dark"": 1635, ""2D"": 1390, ""Local Co-Op"": 1292, ""Remake"": 1276, ""Gore"": 1263, ""Procedural Generation"": 1172, ""Rogue-lite"": 1152, ""Atmospheric"": 993, ""Co-op"": 928, ""Action"": 910, ""Horror"": 843}"
286690,Metro 2033 Redux,Action,Post-apocalyptic;FPS;Atmospheric;Story Rich;Horror;Action;Singleplayer;First-Person;Shooter;Stealth;Survival Horror;Based On A Novel;Survival;Adventure;Multiplayer;Remake;Gore;Mature;Classic;Open World,"{""Post-apocalyptic"": 1196, ""FPS"": 996, ""Atmospheric"": 953, ""Story Rich"": 879, ""Horror"": 838, ""Action"": 827, ""Singleplayer"": 776, ""First-Person"": 652, ""Shooter"": 602, ""Stealth"": 577, ""Survival Horror"": 485, ""Based On A Novel"": 447, ""Survival"": 418, ""Adventure"": 412, ""Multiplayer"": 404, ""Remake"": 310, ""Gore"": 242, ""Mature"": 222, ""Classic"": 188, ""Open World"": 86}"
291550,Brawlhalla,"Action, Indie, Free To Play",Free to Play;Multiplayer;Fighting;2D Fighter;2D Platformer;Casual;Local Multiplayer;Co-op;Controller;Platformer;Action;Online Co-Op;Local Co-Op;Fantasy;4 Player Local;Family Friendly;e-sports;Cartoony;Singleplayer;Indie,"{""Free to Play"": 4147, ""Multiplayer"": 3007, ""Fighting"": 2864, ""2D Fighter"": 2185, ""2D Platformer"": 2103, ""Casual"": 2048, ""Local Multiplayer"": 1987, ""Co-op"": 1974, ""Controller"": 1969, ""Platformer"": 1967, ""Action"": 1950, ""Online Co-Op"": 1931, ""Local Co-Op"": 1923, ""Fantasy"": 1920, ""4 Player Local"": 1900, ""Family Friendly"": 1888, ""e-sports"": 1886, ""Cartoony"": 1884, ""Singleplayer"": 1868, ""Indie"": 1846}"
304930,Unturned,"Action, Adventure, Casual, Indie, Free To Play",Free to Play;Survival;Zombies;Multiplayer;Open World;Co-op;Sandbox;Crafting;Shooter;Adventure;Post-apocalyptic;First-Person;Singleplayer;Looter Shooter;FPS;Action;Massively Multiplayer;Indie;Atmospheric;Casual,"{""Free to Play"": 36941, ""Survival"": 16603, ""Zombies"": 15369, ""Multiplayer"": 15230, ""Open World"": 15122, ""Co-op"": 14986, ""Sandbox"": 14933, ""Crafting"": 14919, ""Shooter"": 14908, ""Adventure"": 14876, ""Post-apocalyptic"": 14870, ""First-Person"": 14855, ""Singleplayer"": 14843, ""Looter Shooter"": 14843, ""FPS"": 14840, ""Action"": 14834, ""Massively Multiplayer"": 14804, ""Indie"": 14776, ""Atmospheric"": 14765, ""Casual"": 14764}"
314030,Guilty Gear X2 #Reload,Action,Fighting;2D Fighter;Action;Great Soundtrack;Anime;Arcade;Multiplayer;2D;Classic;Singleplayer;Local Multiplayer;Beat 'em up,"{""Fighting"": 76, ""2D Fighter"": 62, ""Action"": 56, ""Great Soundtrack"": 56, ""Anime"": 56, ""Arcade"": 28, ""Multiplayer"": 12, ""2D"": 9, ""Classic"": 8, ""Singleplayer"": 8, ""Local Multiplayer"": 8, ""Beat 'em up"": 7}"
322330,Don't Starve Together,"Action, Adventure, Indie, RPG, Simulation, Strategy",Survival;Open World Survival Craft;Multiplayer;Co-op;Open World;Adventure;Crafting;Online Co-Op;Sandbox;Difficult;Indie;2D;Atmospheric;Funny;Survival Horror;Strategy;Horror;Singleplayer;Action;Rogue-like,"{""Survival"": 41185, ""Open World Survival Craft"": 40879, ""Multiplayer"": 10570, ""Co-op"": 8186, ""Open World"": 5958, ""Adventure"": 5097, ""Crafting"": 4778, ""Online Co-Op"": 4379, ""Sandbox"": 3674, ""Difficult"": 2738, ""Indie"": 2436, ""2D"": 2322, ""Atmospheric"": 1867, ""Funny"": 1794, ""Survival Horror"": 1791, ""Strategy"": 1492, ""Horror"": 1356, ""Singleplayer"": 1309, ""Action"": 1132, ""Rogue-like"": 1031}"
355180,Codename CURE,"Action, Free To Play",Zombies;Shooter;Free to Play;Survival Horror;Co-op;FPS;Military;Post-apocalyptic;Class-Based;PvE;Action;Online Co-Op;First-Person;Moddable;Singleplayer;Gore;Multiplayer;PvP;Mod;3D,"{""Zombies"": 999, ""Shooter"": 992, ""Free to Play"": 990, ""Survival Horror"": 779, ""Co-op"": 741, ""FPS"": 737, ""Military"": 737, ""Post-apocalyptic"": 734, ""Class-Based"": 725, ""PvE"": 724, ""Action"": 704, ""Online Co-Op"": 700, ""First-Person"": 695, ""Moddable"": 686, ""Singleplayer"": 685, ""Gore"": 669, ""Multiplayer"": 667, ""PvP"": 571, ""Mod"": 571, ""3D"": 562}"
359840,Shift Happens,"Action, Indie",Co-op;Online Co-Op;Local Co-Op;Puzzle-Platformer;Local Multiplayer;Puzzle;Multiplayer;Family Friendly;Indie;Controller;2D Platformer;Platformer;Action;2.5D;Funny;Side Scroller;Colorful;2D;Team-Based;Singleplayer,"{""Co-op"": 168, ""Online Co-Op"": 160, ""Local Co-Op"": 154, ""Puzzle-Platformer"": 148, ""Local Multiplayer"": 130, ""Puzzle"": 118, ""Multiplayer"": 114, ""Family Friendly"": 111, ""Indie"": 107, ""Controller"": 97, ""2D Platformer"": 91, ""Platformer"": 85, ""Action"": 83, ""2.5D"": 76, ""Funny"": 75, ""Side Scroller"": 71, ""Colorful"": 66, ""2D"": 66, ""Team-Based"": 65, ""Singleplayer"": 63}"
390290,Bulb Boy,"Adventure, Indie",Adventure;Indie;Point & Click;Horror;Dark;Singleplayer;Dark Humor;Gore;Puzzle;Cute;Atmospheric;Surreal;2D;Psychological Horror;Short;Funny,"{""Adventure"": 59, ""Indie"": 52, ""Point & Click"": 49, ""Horror"": 45, ""Dark"": 33, ""Singleplayer"": 30, ""Dark Humor"": 30, ""Gore"": 26, ""Puzzle"": 25, ""Cute"": 16, ""Atmospheric"": 15, ""Surreal"": 13, ""2D"": 9, ""Psychological Horror"": 6, ""Short"": 6, ""Funny"": 5}"
